title,description,type,operation,city,neighborhood,price,bedrooms,bathrooms,garage,builtArea,totalArea,featured,imageUrls
"Apartamento Moderno no Itaim Bibi","Apartamento recém-reformado com 2 suítes, varanda gourmet e vista para a cidade. Condomínio com lazer completo e segurança 24h. Acabamentos de alto padrão.","Apartamento","Alugar","São Paulo","Itaim Bibi",9500,2,3,2,110,110,true,"https://images.unsplash.com/photo-1522771739844-6a9f6d5f14af?q=80&w=1080,https://images.unsplash.com/photo-1616046229478-9901c5536a45?q=80&w=1080"
"Casa de Condomínio em Alphaville","Casa espaçosa com 4 suítes, piscina privativa e área de churrasqueira. Condomínio fechado com segurança e área de lazer completa. Ideal para famílias.","Casa","Venda","Barueri","Alphaville",2800000,4,5,4,450,600,true,"https://images.unsplash.com/photo-1600585154340-be6161a56a0c?q=80&w=1080,https://images.unsplash.com/photo-1613490493576-7fde63acd811?q=80&w=1080"
"Kitnet Funcional Perto da USP","Kitnet mobiliada, ideal para estudantes. Ambiente integrado com cozinha compacta e banheiro. Próximo a comércios e transporte público. Contas inclusas.","Kitnet","Alugar","São Paulo","Butantã",1800,1,1,0,35,35,false,"https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?q=80&w=1080"
"Terreno Amplo em Atibaia","Terreno plano de 1000m² em condomínio fechado. Perfeito para construir a casa dos seus sonhos. Condomínio com portaria 24h e área verde preservada.","Terreno","Venda","Atibaia","Condomínio dos Lagos",450000,0,0,0,0,1000,false,"https://images.unsplash.com/photo-1500382017468-9049fed747ef?q=80&w=1080"
"Sala Comercial na Avenida Paulista","Sala comercial com 80m², duas salas de reunião e copa. Prédio com recepção, segurança e estacionamento para visitantes. Localização privilegiada.","Sala","Alugar","São Paulo","Bela Vista",6500,0,2,1,80,80,false,"https://images.unsplash.com/photo-1521737604893-d14cc237f11d?q=80&w=1080"
"Chácara para Finais de Semana","Chácara com casa principal de 3 quartos, piscina, campo de futebol e pomar. Ótima para lazer e descanso. Apenas 1h de São Paulo.","Chácara","Venda","Ibiúna","Centro",780000,3,4,6,300,5000,true,"https://images.unsplash.com/photo-1588012884782-b3b4a1a3a3d5?q=80&w=1080"
"Imóvel de Alto Padrão no Morumbi","Mansão com 5 suítes, home theater, adega, piscina aquecida e academia. Um verdadeiro refúgio de luxo e privacidade na cidade.","Alto Padrão","Venda","São Paulo","Morumbi",8500000,5,7,8,1200,2000,true,"https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?q=80&w=1080,https://images.unsplash.com/photo-1605276374104-5de67d602848?q=80&w=1080"
"Casa Térrea no Tatuapé","Casa charmosa com 3 dormitórios, edícula nos fundos e corredor lateral. Bem localizada, perto de parques, shoppings e metrô.","Casa","Venda","São Paulo","Tatuapé",950000,3,2,2,180,250,false,"https://images.unsplash.com/photo-1613977257365-aaae5a9817ff?q=80&w=1080"
"Apartamento de 1 Dormitório na Consolação","Apartamento compacto e bem distribuído, ideal para solteiros ou casais. Prédio com lavanderia coletiva e academia. Perto de tudo.","Apartamento","Alugar","São Paulo","Consolação",3200,1,1,1,45,45,false,"https://images.unsplash.com/photo-1599696848633-53435158b45f?q=80&w=1080"
"Galpão Industrial na Mooca","Galpão com 1500m² de área fabril, pé direito de 10m, escritórios e refeitório. Fácil acesso às marginais e rodovias.","Galpão","Alugar","São Paulo","Mooca",25000,0,4,0,1800,2500,false,"https://images.unsplash.com/photo-1587573133315-a690742e77e2?q=80&w=1080"
